VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalFreight,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,42.21,750.0,62.99,10227,431681.67,9713.0,572039.87,7651.83,9654.5,123051.87000000001,21.51106530389219,0.949740881979075,1.325142830363865
3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,13.33,750.0,17.99,32375,431558.75,31816.0,606781.84,25052.7,257032.07,-106861.68000000004,-17.61121921513011,0.9827335907335907,1.4060237221467529
3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,9.62,1750.0,14.99,44631,429350.22,44434.0,643753.66,81641.20999999999,257032.07,-124269.83999999994,-19.30394306418389,0.9955860276489436,1.4993672531482576
3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,14.7,1000.0,19.99,29200,429240.0,29238.0,584467.62,30699.9,257032.07,-132504.35,-22.670947964576722,1.0013013698630138,1.3616336315348057
3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,13.23,1750.0,17.99,32253,426707.19,32430.0,583415.7,59584.78,257032.07,-159908.34000000005,-27.408988136589414,1.0054878615942704,1.367250690104378
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,139.7,750.0,189.99,2963,413931.10000000003,2761.0,548648.39,2176.61,257032.07,-124491.39000000003,-22.690559613234264,0.9318258521768478,1.3254582465535931
17035,PERNOD RICARD USA,482,Absolut 80 Proof,14.28,1000.0,21.99,28888,412520.64,27866.0,599601.34,29259.3,123780.22,34041.17999999995,5.677302188817649,0.9646219883688729,1.4535062778919376
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,37.29,1750.0,49.99,10966,408922.14,10796.0,525233.04,19841.33,257032.07,-160562.5,-30.569763851870395,0.9844975378442459,1.2844328751678744
1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,21.89,750.0,29.99,18645,408139.05,18408.0,589481.92,14496.36,68601.68,98244.83000000006,16.666300808682998,0.987288817377313,1.4443163916807276
3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,16.53,750.0,22.99,24558,405943.74,24284.0,570271.16,19122.7,257032.07,-111827.34999999996,-19.60950471351207,0.9888427396367783,1.4048034340916307
1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,5.84,1500.0,8.99,69263,404495.92,68667.0,686725.33,15427.26,79528.99,187273.15999999997,27.270460520219924,0.9913951171621211,1.6977311662377212
660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,7.68,1750.0,9.99,52351,402055.68,51954.0,527560.96,95452.87,17932.33,12120.079999999973,2.2973800032511833,0.9924165727493267,1.3121589527102315
3252,E & J GALLO WINERY,14622,La Marca Prosecco,8.66,750.0,12.99,46387,401711.42,45608.0,558344.6900000001,5114.6,61966.91,89551.76000000007,16.03879496015267,0.983206501821631,1.3899149045849881
8004,SAZERAC CO INC,3246,Bentley's Vodka,6.71,1750.0,8.79,59841,401533.11,59245.0,520763.55,108849.58,50293.62,-39912.759999999995,-7.664276810464172,0.9900402733911532,1.2969380034438505
17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,30.21,750.0,42.99,13250,400282.5,12463.0,544906.37,9818.56,123780.22,11025.089999999995,2.023299892787085,0.9406037735849057,1.361304503694266
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.7,750.0,21.99,27186,399634.2,26178.0,571763.22,20614.87,5861.03,145653.11999999997,25.474377313042275,0.9629220922533657,1.4307164401845487
3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,40.14,750.0,54.99,9892,397064.88,9219.0,549291.81,7262.52,257032.07,-112067.65999999996,-20.40220843635006,0.9319652244237768,1.3833804943917478
8112,MOET HENNESSY USA INC,8622,Dom Perignon,87.09,750.0,145.99,4544,395736.95999999996,4127.0,589317.73,459.15000000000003,48347.26,144774.36000000002,24.566435494822127,0.9082306338028169,1.489165252596068
3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,49.62,750.0,66.99,7821,388078.02,7644.0,550740.5599999999,6022.61,257032.07,-100392.14000000009,-18.22857208846214,0.9773686229382432,1.4191490669840048
480,BACARDI USA INC,508,Bacardi Superior Rum,9.77,1000.0,12.99,38957,380609.89,38335.0,522309.15,40251.75,89286.27,12161.240000000005,2.32836051216028,0.984033678157969,1.3722952653700091
3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,13.07,1750.0,16.99,29070,379944.9,28291.0,543425.09,51982.14,14069.87,97428.17999999995,17.9285391478704,0.973202614379085,1.4302734159611037
8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,46.66,1750.0,69.99,8132,379439.12,8118.0,549271.82,14917.3,48347.26,106568.13999999994,19.40171261653291,0.9982784062961141,1.4475887989620047
1128,BROWN-FORMAN CORP,2143,Canadian Mist,10.07,1750.0,12.99,37653,379165.71,37763.0,518089.37,69382.94,68601.68,939.039999999979,0.18125058230783214,1.0029214139643587,1.36639299476738
4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,50.33,750.0,74.99,7505,377726.65,7612.0,534970.9199999999,849.1700000000001,144929.24,11465.859999999911,2.1432678994962777,1.014257161892072,1.4162911724655909
17035,PERNOD RICARD USA,2646,Chivas Regal,43.3,1750.0,58.99,8702,376796.6,8233.0,462119.67,15131.22,123780.22,-53588.369999999995,-11.596210565977422,0.9461043438290049,1.2264433118557865
7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,11.9,750.0,14.99,31495,374790.5,31383.0,494108.17,24709.81,38994.78,55613.07999999999,11.255243968137583,0.9964438799809494,1.3183583095089122
3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,20.79,1750.0,25.99,17755,369126.45,17633.0,482985.67,32401.76,257032.07,-175574.61000000004,-36.351929447513434,0.9931286961419319,1.3084558692556438
1485,CASTLE BRANDS CORP.,4225,Goslings Black Seal Bermuda,18.37,1750.0,24.99,20089,369034.93,20179.0,522535.20999999996,37080.62,8497.59,107922.06999999998,20.653549834469526,1.0044800637164617,1.415950544302134
1392,CONSTELLATION BRANDS INC,6479,Clos du Bois Chard,5.95,750.0,8.99,61869,368120.55,61253.0,567452.47,6872.1900000000005,79528.99,112930.73999999998,19.901356672216085,0.9900434789636167,1.541485445460733
4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,15.03,1750.0,19.99,24202,363756.06,23843.0,485688.56999999995,43809.65,144929.24,-66806.38000000003,-13.75498295131797,0.9851665151640361,1.3352040650539263
17035,PERNOD RICARD USA,800,Jameson Irish Whiskey,24.02,1000.0,31.99,15142,363710.84,14506.0,468587.94,15231.3,123780.22,-34134.42000000003,-7.284528065318972,0.9579976225069343,1.2883529674287408
